section,page,block_id,caption,caption_source,file
specifications,1009,,Figure 1—AWS A5.30/A5.30M Classification System,printed,figures/sfa_5_30_sfa_5_30m_figure_1.png
specifications,1010,,Figure 2—Standard Sizes and Shapes of Consumable Inserts,printed,figures/sfa_5_30_sfa_5_30m_figure_2.png
specifications,1011,,Figure 2 (Continued)—Standard Sizes and Shapes of Consumable Inserts,printed,figures/sfa_5_30_sfa_5_30m_figure_2_continued.png
specifications,1017,,Figure A1—Fusibility Test Joint,printed,figures/sfa_5_30_sfa_5_30m_figure_a1.png
specifications,1018,,Figure A2—WRC–1992 (FN) Diagram for Stainless Steel Weld Metal,printed,figures/sfa_5_30_sfa_5_30m_figure_a2.png
specifications,1019,,Figure A3—Effect of Base Metal Dilution on Ferrite Content in Stainless Steel Welds with Consumables Inserts,printed,figures/sfa_5_30_sfa_5_30m_figure_a3.png
specifications,1028,,Figure 1—Test Specimen,declared,figures/sfa_5_31m_sfa_5_31_figure_1.png
specifications,1039,,Figure B.1—Precautionary Information for Brazing and Welding Fluxes Containing Fluorides,printed,figures/sfa_5_31m_sfa_5_31_figure_b_1.png
specifications,1074,,Figure 1—Pad for Chemical Analysis of Undiluted Weld Metal from Flux Cored Electrodes,printed,figures/sfa_5_34_sfa_5_34m_figure_1.png
specifications,1075,,Figure 2—Groove Weld Test Assembly for Tension and Radiographic Tests for Flux Cored Electrodes,printed,figures/sfa_5_34_sfa_5_34m_figure_2.png
specifications,1076,,Figure 3—Groove Weld Test Assembly for Longitudinal Bend Test for Flux Cored Electrodes,printed,figures/sfa_5_34_sfa_5_34m_figure_3.png
specifications,1077,,Figure 4—Fillet Weld Test Assembly for Flux Cored Electrodes,printed,figures/sfa_5_34_sfa_5_34m_figure_4.png
specifications,1078,,Figure 5—Fillet Weld Test Specimen and Dimensional Requirements for Flux Cored Electrodes,printed,figures/sfa_5_34_sfa_5_34m_figure_5.png
specifications,1080,,Figure 6—Radiographic Standards for 3/4 in [19 mm] Test Assembly in Figure 2 for Flux Cored Electrodes,printed,figures/sfa_5_34_sfa_5_34m_figure_6.png
